Username,Review
bliwaras,"Barang sesuai pesanan dan bekerja dengan baik
Sampai di Lampung dengan selamat diantar langsung oleh 3orang dari shopee dengan Mobil setelah sebelum nya konfirmasi via telp.
"
chaca_2323,"Makasih iBox udah sampaii dengan selamaaat, secantikkk itu tapi claim bisa apa gak blm tahuuu"
kikisepti,
naratrid,Pelayanan bagus. Cuma waktu pengiriman pas sale 12.12 jadi sampenya lama
angelkrisila,pengirimanya cepat banget sehari sampai dan respon adminya ramah❤️
v*****a,
k*****a,
deviumaryani,Pengiriman sangat cepat .....barang original ....trimakasih i box
d*****w,"Bener2 sesuai dan tidak mengecewakan, produk nya sesuai. Puass bnget"
nurfitriannisanufi,Akhirnya yg d tunggu2 dtg juga. Mantappppp
harris15,
k*****a,
ncastore,Lanjut pubg 😁😁😁
jessica_d,"PO cepettt ini...yg ktnya dblg dkirim tg18,,taunya tg18 uda sampe.. Mantepppp"
tukangkulitasli,Mantab. Mendarat dengan selamat
narendrasulistiyo,"Pembelian termahal di e-commerce, dateng dengan packaging yang baik. Bagian dalam dilapis bubble wrap dan di luar ada semacam segel buat nandain paket benar-benar belum dibuka. Produk asli masih green peel, ngga ragu lagi buat belanja di OS iBox ini. "
m*****a,"Terbaik..
Fast Respon
Pengiriman cepat
Kapan ready stock lahi nih ???
"
y*****3,"Thankyouuu ❤️
Minus y ga di kasih paper bag ibox y . Yg lain oke . "
n*****x,"Habis menang judi slot, JP 50jt langsung beli ini, hahaha
Ga nyangka sebelumnya bisa beli hp ini, terima kasih zeus yang telat memberikan saya JP.
barang nya gak usah di komen, pasti bagus itu lah."
bakpiamutiarajogja,"Stok ready, dan respon cepat, packaging oke, ada stiker info customer care nya juga. Mantap layanan nya. Kemungkinan kita akan beli lagi. Terimakasih ya"
nahrilelmoezt,Brg original.. Pengiriman cepat.. Cuma barangnya datang kardus sudah sobek 
r*****o,"Pengiriman ontime, hanya expedisinya yg lemot. Mohon ditambah lagi pilihan expedisinya, jangan hanya satu pilihan."
k*****_,"ga nyangka barangnya nyampe cepet bgt, dibungkus dengan aman, respon penjualnya juga baik dan ramah 👍🏼"
ermelinda.conceicao,"Bagus produknya
Pengiriman nya cepat
Suka sama Hpnya 
😍😍😍😍😍"
pasarkaget.24jam,Suka bgt warnanya mewah
juliyanti_lily,mantappp⭐️⭐️⭐️⭐️⭐️
nonaisme8333,
maryajuni94,Makssih udh sampe 🥰
jhonilim88,
kikipandelaki,
mericiembroideries,
boenny,
w*****a,👍👍👍
mithaayuds,
irhamf1997,
vikaandalas,
ns_store18,
bobbydonalds,Mantap ori barangnya
muh_istiqfari_nurdin,
f*****9,
pasyazaki,👍🏻👍🏻👍🏻
rara.dw,
rendyachfanawaludinaen,Thanks
fiddin27,
iintiurpurnama,
y*****s,
andimhuda,
rudvan123,
s*****f,Akhirnyaaa dapet wrna ini🥰🥰🥰
wildanpramana1998,
t*****o,
muhdidinsyaifudin,
marison_pasaribu,
mozesmuse,
elguzzein,"Mendarat dgn aman dan perfecto..
thanks IBOx"
aaron_chi,
tomy3221,Bagus sesuai dengan pesanan 
sorong.shop_rambut_anyam.id,Nice One
r*****7,"Niceee , mantaap. "
adry387,
r*****1,Puasssss...
c*****d,"Mohon bantuan claim era pointnya, karena error. Beli 2 iPhone cuma bisa masuk 1 "
t*****1,"packaging kerdus biasa, tidak ad shooping bag ibox ny"
rutniati,"Iphone asli dah di cek imei dan bergaransi. Tapi setelah hp diterima ada oknum nakal yg nelpon (perempuan logat org sebrang) dan minta transfer 1,5jt katanya utk klaim garansi internasional. Hati2 buat yg lain! Mohon ibox jaga privasi konsumen!!!"
ankitrihal,Whatever offer seller has committed none delivered. Emailed Era Club as well no response. Will be filing a legal case if reply doesn't come before 31st of this month. 
datas46,"Thank you, Ori"
leny_fij,Original.Tapi untuk packaging kurang safe bgt...pengiriman luar kota mending pakai jne krn shopee standart lama bep🙂
selvianovig,"Expedisinya lama bgt melebihi estimasi perkiraan barang datang 
Barang datang smpe 8hari🙈"
v*****d,"Pengiriman tepat waktu sesuai jadwal yang di berikan, packaging aman bagus dan rapih 
"
a*****8,Barang bagus  respon pelapak baik hanya saja pengiriman sangat lama di luar estimasi order dengan shopee expres kejelasan paket tidak ada posisi sedang transit terus akhirnya liat review kons lain dateng via si cepat sy kejar ke gudang si cepat barang ada d gudang saran jgn pk shope expres
p*****8,"krn baru kali ini beli iphone online, deg2an. Resi update udh dikirim dr tgl 17, tgl 18 sore udh sampe, brarti cm 1hr pengiriman, barang aman. Tp kyk kena prank krn trnyata 18 ready di store jg, aku kira dgn ikt an PO artinya kita yg dpt barang duluan. Pdhl udh capek2 standby nunggu jam 12 malem"
kickychaca,"Thankyou, my iphone safely arrived at home☺️☺️☺️ sadly i didnt receive any ibox shopping bag...kinda like it but it wasnt include"
alyanovel,packing keluar kota cm pake dus biasa .. riskan bgt sih ini.. di benerin please
markussusanto89,Thank you! Diterima pas tgl 18! 😆
rubiaeceae,"Setelah saya pakai, tidak terjadi masalah.
Kamera sesuai, kesehatan baterai sesuai, charge sesuai."
dr_kiranabeautycare,
muhamadsidik8,Respon baik. Barang ternyata cepat sekali sampainya 👍🏻
anandjordan,Tidak ada kantong ibox nya dan thank you note dari ibox nya hiks pdhal itu cukup berarti 
aqienmuttaqien,Meski hrs menunggu lama tapi puas setelah sampai
adiksm,"Order tanggal 13 , diterima sampe surabaya malam tanggal 18 , luar biasa"
deedoc83,"Barangnya bagus, aman beli disini... cs nya ramah ramah bintang 5"
renpray,Makasih ibox
ochamarocha,Barang diterima dg baik..semoga iphone nya awet..terimakasih...
pu2t_ryder23,"Di packing pakai bubble wrap di masukin ke kardus tapi masih longgar, untuk masih aman packingnya.. pesen kemaren nyampe hari ini. Makasih"
2elsignature.,Originaaalllllllll TOP langsung dapet kebagian 😍😍😍😍
ryo_anfield0309,"Sampai dengan selamat, pengiriman sangat cepat dan baramg yg di pesan sesuai, PUASSSS"
ns_store18,
mamisally27,Waaaaa senenggg bangettt iphone 12 pro max aku sudah datang cepat banget sampai nya gak perlu keluar rumah dan antri2 thank you so much 
m*****0,"PACKING NYA TOLONG LEBIH DI PERHATIKAN DAN DI TINGKATKAN LAGI , INI BARANG PULUHAN JUTA BUKAN BARANG PULUHAN RIBU ."
beningsnewbie_pwt2,"Brg sampai dgn aman, syg pengirimannya lama sekali sampai 5hari. Perbaiki sistem pengirimannya min"
lshenliang,Barang Mulus. Packing bagus. Sangat sempurna. Terpercaya. Sudah di test. Mantap barang nya. Saya akan selalu belanja di tempat Anda. Mohon info kalau ada produk baru.
mustofa_1993,mantap surantap bosku
o*****e,happyyyyyyy udah nyampeee!
dianolala,Mendarat dengan selamat cuma bablewrapnya tipis banget.sempet deg2kan
b*****g,Alhamdulillah nembe tekan 2 dino langsung payu tor bati rong juta
rancena,Handphone sampai dengan selamat !
henrym.popang,"Paket sudah diterima tepat waktu, awal-awalnya ragu akan keaslian dan pengemasan paketnya, tapi setelah tiba semuanya ok. BARANG ASLI DAN PENGEMASAN AMAN. Jangan ragu belanja di IBox Shopee 👍"
